CHEMBL3309287	COC1=Nc2ccc(NC(=O)CCCCCCC(=O)NO)cc2C(C)(C)C1
CHEMBL3309292	CC1(C)CC(=O)Nc2cc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)ccc21
CHEMBL3309295	CC1(C)CC(=O)Nc2ccc(S(=O)(=O)NCCCCCCC(=O)NO)cc21
CHEMBL6404	CCC(c1ccc(O)cc1)C(CC)c1ccc(O)c(F)c1
CHEMBL1191207	CC1Nc2ccc(O)c(CN)c2S1
CHEMBL1207158	O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1cccc(O)c1
CHEMBL3309456	O=C1CSC(c2ccc([N+](=O)[O-])cc2)N1c1ccc(Cl)cc1O
CHEMBL3309302	C=C1CCC[C@@H]2[C@@]1(C)CC[C@H](C)[C@@]2(C)CC1=C(O)C(=O)C=C(NCC(C)C)C1=O
CHEMBL3309458	O=C1CSC(c2ccc(Cl)cc2)N1c1ccc(Cl)cc1O
CHEMBL3309304	C=C1CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CC1=C(O)C(=O)C=C(N)C1=O
CHEMBL3309460	COc1ccc(C2SCC(=O)N2c2ccc(Cl)cc2O)cc1
CHEMBL6317	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccsc2)cc1
CHEMBL6413	Oc1ccc(C(=C(C(F)(F)F)C(F)(F)F)c2ccccc2)cc1
CHEMBL3309461	COc1ccc(C2SCC(=O)N2c2ccc(Cl)cc2O)c(OC)c1
CHEMBL3309508	CN1C(=O)[C@H](CCO)CC2=C1[C@@H]1Oc3c(O)ccc4c3[C@@]13CCN(C)[C@H](C4)[C@]3(O)C2
CHEMBL6511	Cc1c(C)c2c(c(C)c1O)CCC(C)(CNCCOc1ccc(/C=C3\SC(=O)NC3=O)cc1)O2
CHEMBL6516	CCC(c1ccc(O)c(Br)c1)C(CC)c1cc(Br)c(O)c(Br)c1
CHEMBL3309270	O=C(/C=C/c1ccc(O)c(O)c1)N1CCN(c2ccccn2)CC1
CHEMBL408	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
CHEMBL3309654	Cc1ccc(O)c(C2C3=C(COC3=O)Nc3c2c2cccnc2c2ncccc32)c1
CHEMBL6615	CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
CHEMBL6698	Oc1ccc2nc(N3CCNCC3)cnc2c1
CHEMBL3309524	Cn1cc(O)c(=O)cc1CNCCCNc1ccnc2cc(Cl)ccc12
CHEMBL3309531	O=c1cc(CNCCCCNc2ccnc3cc(Cl)ccc23)n(C2CC2)cc1O
CHEMBL6788	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@H](CCC)C(=O)O)cc1
CHEMBL6790	Oc1ccc(/C(=C(/c2ccc(O)cc2)C(F)(F)F)C(F)(F)F)cc1
CHEMBL3309763	O=C(CN1C(=O)/C(=C/c2ccc(O)c(O)c2)SC1=S)NO
CHEMBL6535	CC(C)NCC(O)COC(=O)c1ccc(O)cc1
CHEMBL3309860	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccccc1
CHEMBL3309867	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccccc1Br
CHEMBL6560	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCC(=O)O)cc1
CHEMBL3309767	O=C(O)/C(O)=C/C(=O)c1cccc(CN(Cc2ccccc2)Cc2ccccc2)c1
CHEMBL6258	Cc1ccc(Sc2cncc3sc(/C=N/O)cc23)cc1
CHEMBL3309871	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccccc1OC
CHEMBL6307	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCC)cc1
CHEMBL6619	Oc1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1
CHEMBL6349	O=c1oc2cc(O)c(O)cc2c2cc(F)ccc12
CHEMBL3309670	CC(=O)N(CCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)Cc1ccccc1
CHEMBL6492	O=c1cc(-c2ccc(O)cc2O)oc2cc(O)ccc12
CHEMBL3309897	CC(=O)Nc1nc(C)c(O)c(C)c1C
CHEMBL3309787	COC(=O)c1cc(Cn2cc(C(=O)O)c(=O)c3cc(I)ccc32)ccc1O
CHEMBL6572	COc1ccc(S(=O)(=O)N2C[C@@H]3CCCN3C(=O)C[C@@H]2C(=O)NO)cc1
CHEMBL6621	CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(O)cc12
CHEMBL6703	Cc1cc(O)nc2cc(O)ccc12
CHEMBL3309789	CCOC(=O)/C(O)=C/C(=O)c1cccc(Cn2cc(C(=O)O)c(=O)c3cc(I)ccc32)c1
CHEMBL3309810	O=C(/C=C/c1ccc(O)c(O)c1)N1CCN(c2ccccc2)CC1
CHEMBL6353	ONC1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21
CHEMBL425	O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
CHEMBL3309811	O=C(/C=C/c1ccc(O)c(O)c1)N1CCN(c2ccccc2F)CC1
CHEMBL6357	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccn2)cc1
CHEMBL6246	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
CHEMBL6247	Cc1cc(O)c(O)c2oc(=O)c3cc(O)c(O)cc3c12
CHEMBL6336	Cc1cc(O)c(O)c2oc(=O)c3ccc(F)cc3c12
CHEMBL6338	O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12
CHEMBL6295	CCC(c1ccc(O)c(I)c1)C(CC)c1ccc(O)c(I)c1
CHEMBL1163133	COc1ccc(-c2ccc3cccc4c3c2C(=O)C(O)=C4)cc1
CHEMBL3309728	O=C1NC(=S)NC(=O)C1=Cc1cc(Cl)cc(Cl)c1O
CHEMBL6364	O=c1oc2c(O)c(O)ccc2c2ccccc12
CHEMBL6456	Oc1ccc(/C(=C(/c2ccccc2)C(F)(F)F)C(F)(F)F)cc1
CHEMBL6386	C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2O
CHEMBL6392	Cc1cc(O)nc2c3c(ccc12)OC(C)(C)C=C3
CHEMBL6694	O=c1c(-c2ccc(O)cc2O)coc2cc(O)ccc12
CHEMBL3309739	Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccncc2)cc1
CHEMBL6345	O=C1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21
CHEMBL6281	CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccc(O)cc4)nn3)[C@H]2S1(=O)=O
CHEMBL6365	O=c1oc2ccccc2c2cc(O)c(O)cc12
CHEMBL3310092	C[C@@H](O)CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(=O)N(C)C)c1=O
CHEMBL3310095	COCCNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(N)=O)c1=O
CHEMBL7160	N[C@@H]1CCc2c(ccc(O)c2O)[C@H]1O
CHEMBL7304	CCOC(=O)C1=C(O)C(=O)N(Cc2ccco2)C1
CHEMBL6815	Nc1nc(O)c2cc(Sc3ccc(Cl)c(Cl)c3)ccc2n1
CHEMBL412	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
CHEMBL3309976	COc1cc(O)ccc1/C=C1\SC(=O)NC1=O
CHEMBL6973	COc1ccc(S(=O)(=O)N2CN(C)C(=O)C[C@@H]2C(=O)NO)cc1
CHEMBL6900	C=C(C)c1cc2c3c(ccc2o1)[C@@H]1COc2cc(O)ccc2[C@@H]1O3
CHEMBL28	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
CHEMBL3309994	Nc1nc2c3cccc(O)c3nc(Cc3ccc4c(c3)OCO4)n2n1
CHEMBL6685	NS(=O)(=O)c1nc2ccc(O)cc2s1
CHEMBL3310178	OCc1cc(-c2ccc(O)cc2)no1
CHEMBL6663	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)(C)C)cc1
CHEMBL6664	CCC(c1ccc(O)cc1)C(CC)c1cc(I)c(O)c(I)c1
CHEMBL7068	Nc1nc(O)c2ncn(CCCCP(=O)(O)CP(=O)(O)O)c2n1
CHEMBL6665	O=c1c(-c2ccc(O)cc2O)coc2cc(O)cc(O)c12
CHEMBL3310005	Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccccc2)cc1
CHEMBL7252	CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O
