smiles,success,failed
COC(=O)CN(CC(=O)O)CC(=O)O, 1000, 0
COC(=O)CN(CC(=O)O)C(=O)C(=O)O, 1000, 0
COC(=O)CN(CC(O)O)C(=O)C(=O)O, 1000, 0
COC(=O)C1=C(C(O)O)N1C(=O)C(=O)O, 1000, 0
COCC1=C(C(O)O)N1C(=O)C(=O)O, 1000, 0
O=C(O)C(=O)N1C(C2=CO2)=C1C(O)O, 998, 2
O=C(O)C(=O)N1C2=C1C(O)OC1=C2O1, 1000, 0
NOC1OC2=C(O2)C2=C1N2C(=O)C(=O)O, 1000, 0
NOC(OC1=CO1)C1=CN1C(=O)C(=O)O, 1000, 0
CN(CC(ON)OC1=CO1)C(=O)C(=O)O, 1000, 0
CN(C)C(=O)C(=O)O, 1000, 0
CN(CO)C(=O)C(=O)O, 999, 1
CN(C=O)C(=O)C(=O)O, 1000, 0
CN(C=O)C(O)C(=O)O, 1000, 0
C=CN(C=O)C(O)C(=O)O, 999, 1
C=CN(C=O)C(=O)C(=O)O, 991, 9
C=CN(C=O)C(=O)CO, 990, 10
O=CNC(=O)CO, 1000, 0
O=CNC(=O)CO, 1000, 0
CC(O)C(=O)NC=O, 1000, 0
CC1(O)C(=O)N1C=O, 999, 1
CC(O)N(C=O)C=O, 1000, 0
O=CN(C=O)C(O)CO, 1000, 0
CN(C=O)C(O)CO, 1000, 0
CN(C=O)C(O)C(=O)O, 1000, 0
CCN(C=O)C(O)C(=O)O, 998, 2
CCN(C=O)C(OC)C(=O)O, 999, 1
CCN(C=O)C(OCO)C(=O)O, 999, 1
CC(=N)N(C=O)C(OCO)C(=O)O, 1000, 0
CC(=N)N(C=O)C(O)(OCO)C(=O)O, 1000, 0
CC(=N)N(C=O)C(O)(O)C(=O)O, 1000, 0
N#CC(=N)N(C=O)C(O)(O)C(=O)O, 997, 3
N=CC(=N)N(C=O)C(O)(O)C(=O)O, 1000, 0
N=CC(=N)N(C(N)=O)C(O)(O)C(=O)O, 999, 1
N=CC1=NOC(O)(C(=O)O)N1C(N)=O, 999, 1
N=CC=NOC(O)(NC(N)=O)C(=O)O, 1000, 0
N=CC=NOC(NC(N)=O)C(=O)O, 981, 19
C=NC(=O)NC(ON=CC=N)C(=O)O, 981, 19
C=NC(=O)NC(ON=CC=N)C(=O)OC, 976, 24
C=NC(=O)NCON=CC=N, 1000, 0
O=C(O)CN(CC(=O)O)CC(=O)O, 997, 3
O=C(O)CN(CC(=O)O)C(=O)C(=O)O, 1000, 0
COC(=O)CN(CC(=O)O)C(=O)C(=O)O, 1000, 0
COC(=O)CN1C(=O)C(=O)OC1C(=O)O, 1000, 0
COC(=O)C1OC(=O)C2OC(=O)C(=O)N21, 998, 2
COC(=O)C1OC(=O)C(OC=O)N1C=O, 1000, 0
COC(=O)C(OC=O)N(C=O)COC=O, 1000, 0
O=COCN(C=O)C(OC=O)C(=O)OC=O, 1000, 0
NC(OC=O)(C(=O)OC=O)N(C=O)COC=O, 1000, 0
NC1(OC=O)C(=O)OC(=O)C(=O)N1COC=O, 999, 1
NC1(OC=O)C(=O)OC(=O)C(O)N1COC=O, 998, 2
NC1(OC=O)C(=O)OC(=O)C2(O)C(OC=O)N12, 999, 1
NC1(OC=O)C(=O)OCC2(O)C(OC=O)N12, 1000, 0
NC1(OC=O)C(=O)OCC2C(OC=O)N21, 999, 1
NC12OC(=O)C3(COC1=O)C(OC=O)N23, 854, 146
CC(=O)OC1N2C3(N)OC(=O)C12COC3=O, 822, 178
CC(=O)OC1(O)N2C3(N)OC(=O)C21COC3=O, 834, 166
CC(=O)OC1(O)N2C3(N)OC(=O)C21C(=O)OC3=O, 829, 171
CC(=O)OC(O)N1C2C(=O)OC(=O)C1(N)OC2=O, 820, 180
