smiles,BDE,IP
C1=CC=C(C(=C1)C=NN2C(=NN=N2)N)O,82.1250617980957,161.13745154789925
C1=CC=C(C(=C1)NC(=O)CCCSC2=CC=C(C=C2)Cl)O,80.09047622680664,141.04833244630575
C1=CC=C(C(=C1)NC(=S)NC(=O)C=CC2=CC=CO2)O,80.09047622680664,132.7696383373523
C1=CC=C(C=C1)C(=C2C(N(C(=O)C2=O)CCO)C3=CC=C(C=C3)Br)O,81.94419937133789,135.58025370187522
C1=CC=C(C=C1)C(=NNC2=CC=CC=C2O)N=NC3=CC=CC=C3O,74.15935592651367,116.3813772451079
C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,68.15898056030274,152.11991864289286
C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)O,84.36050491333008,157.44297221380475
C1=CC=C(C=C1)C(=O)NC2=NC(=CS2)CC(=O)NO,68.4130256652832,141.04248846584798
C1=CC=C(C=C1)C(CO)NC(=O)CNC(=O)C2=CC=C(C=C2)Cl,75.26051559448243,146.6045635315752
C1=CC=C(C=C1)C2=C(C=NN2)C3NC4=CC=CC=C4C(=O)N3O,72.6304298400879,137.79882722173812
C1=CC=C(C=C1)C2=CC(=NC(=N2)N)C3=CC=CC=C3O,81.72812576293946,146.05960259467602
C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,66.02354736328125,141.02969812645674
C1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(=O)N2O,79.63871841430664,143.72656425182464
C1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Cl)C(=O)N2O,79.63871841430664,147.5424660390425
C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)N2O,79.63871841430664,144.40294272329808
C1=CC=C(C=C1)C=CC(=O)NC(=O)C2=CC=CC=C2O,81.73133926391601,144.67684501256466
C1=CC=C(C=C1)CN(CCO)C(=O)C2=NC3=CC=CC=C3C=C2,78.154012298584,141.76307176438092
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C4=CC(=O)NN4)O,71.86748428344727,131.83886280294777
C1=CC=C(C=C1)CNC(=O)C(=NO)C2=CC=CC=C2,71.5728240966797,144.5291870513499
C1=CC=C(C=C1)COC2=CC(=CC(=C2)C(=O)O)OCC3=CC=CC=C3,76.09289474487305,142.12930113751173
C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O,77.09521865844727,149.2907151429558
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2O,81.73133926391601,148.22313911314606
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,67.82014846801758,139.93501375771763
