ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX ApKa,CX BpKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL3086513,,,Small molecule,0,178.19,1,1,1.08,76.88,3,2,0,1,N,0.67,6.33,None,0.94,-0.37,1,MOL,-1,13,4,2,0,178.0742,ACID,C9H10N2O2,CC(C)c1cc(O)[nH]c(=O)c1C#N
CHEMBL1327207,,,Small molecule,0,198.2,3,3,2.38,37.3,1,1,0,4,N,0.75,3.08,None,2.01,-0.25,1,MOL,-1,13,2,1,0,198.081,ACID,C10H15O2P,CCCCP(=O)(O)c1ccccc1
CHEMBL2425319,,,Small molecule,0,162.58,11,16,1.61,36.68,2,0,0,0,Y,0.43,None,None,1.98,1.98,1,MOL,-1,11,2,0,0,161.9985,NEUTRAL,C8H3ClN2,N#CC#Cc1ccc(Cl)nc1
CHEMBL2425324,,,Small molecule,0,141.17,11,16,1.87,23.79,1,0,0,0,Y,0.51,None,None,2.89,2.89,1,MOL,-1,11,1,0,0,141.0578,None,C10H7N,Cc1ccccc1C#CC#N
CHEMBL2425475,,,Small molecule,0,199.18,1,2,0.75,69.56,3,3,0,3,N,0.5,8.88,None,0.31,0.3,1,MOL,-1,14,4,3,0,199.0645,NEUTRAL,C9H10FNO3,O=C(CC(O)c1ccc(F)cc1)NO
CHEMBL2426253,,,Small molecule,0,165.17,1,3,1.95,29.1,1,1,0,2,Y,0.67,None,None,2.11,2.11,1,MOL,-1,12,2,1,0,165.059,NEUTRAL,C9H8FNO,C=CC(=O)Nc1cccc(F)c1
CHEMBL1898714,,,Small molecule,0,158.65,2,2,3.06,0,1,0,0,1,N,0.57,None,None,3.21,3.21,1,MOL,-1,9,0,0,0,157.9957,None,C7H7ClS,CSc1ccc(Cl)cc1
CHEMBL2407100,,,Small molecule,0,177.16,1,1,0.83,55.4,3,1,0,1,Y,0.65,11.49,None,0.47,0.47,1,MOL,-1,13,4,1,0,177.0426,NEUTRAL,C9H7NO3,O=Cc1ccc2c(c1)NC(=O)CO2
CHEMBL1910056,,,Small molecule,0,166.25,2,4,1.6,24.06,1,2,0,1,Y,0.62,13.6,None,1.99,1.99,1,MOL,-1,11,2,2,0,166.0565,NEUTRAL,C8H10N2S,CNC(=S)Nc1ccccc1
CHEMBL1326820,,,Small molecule,0,170.19,5,5,0.65,63.08,4,1,0,3,N,0.53,2.18,3.47,-0.12,-2.95,1,MOL,-1,11,4,1,0,170.015,ACID,C6H6N2O2S,O=C(O)CSc1ncccn1
CHEMBL1889723,,,Small molecule,0,162.02,2,2,2.58,26.02,1,1,0,0,Y,0.58,None,2.09,2.35,2.35,1,MOL,-1,9,1,2,0,160.9799,NEUTRAL,C6H5Cl2N,Nc1cccc(Cl)c1Cl
CHEMBL277540,,,Small molecule,0,195.26,9,13,1.59,44.48,3,1,0,4,N,0.79,None,10.02,1.49,-0.99,1,MOL,-1,14,3,2,0,195.1259,BASE,C11H17NO2,COc1ccc(CC(C)N)cc1OC
CHEMBL1885090,,,Small molecule,0,197.26,4,4,1.13,46.17,2,1,0,3,Y,0.79,10.17,None,1.27,1.27,1,MOL,-1,13,3,1,0,197.051,NEUTRAL,C9H11NO2S,O=S(=O)(NC1CC1)c1ccccc1
